frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RFHD_x,human_RFHD_y,human_RFHD_z,human_LFHD_x,human_LFHD_y,human_LFHD_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,head_x,head_y,head_z,target_x,target_y,target_z,state_idx
3765838,-89.9907,90.003,-14.9936,44.991,5.00173,4.99311,-174.997,89.9852,90.0112,14.9981,44.9915,4.99922,4.98934,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,6.05038,1.28951,1.96737,-6.43186,-0.667321,-2.12139,-0.0901374,-8.2071,5.48474,-2.42704,-5.56031,-0.261155,-1.2232,-0.49296,0.0663007,-0.557957,1.50277,1.90516,0.272398,-1.66721,-0.0214298,-0.546635,1.50887,-2.04596,0.271147,-1.73911,-0.854809,0.0973738,1.25273,-0.0127402,0.999915,0.00276567,0,0,0,0,0,0,0,0,0,0,0,0,-130.539,-482.772,1584.45,-113.871,-522.097,1620.89,-156.939,-493.486,1531.39,196.019,-521.786,1561.63,182.029,-541.322,1591.82,211.086,-533.884,1510.38,-320.442,-294.644,808.039,-292.442,-246.066,838.778,-236.886,-287.395,848.137,-307.126,-258.392,873.049,238.963,-380.243,814.826,291.59,-341.173,808.328,317.237,-385.291,766.055,307.509,-357.588,838.62,-877.781,-693.176,1248.17,-831.487,-690.735,1252.31,-850.849,-694.479,1289.09,-891.17,890.545,1291.47,-846.577,889.146,1266.59,-882.893,888.868,1244.65,-837.526,-332.061,1277.28,-882.039,-332.255,1276.36,-859.02,-332.905,1237.53,0,0,0,0.227013,-1.41781,1.7088,0
3765839,-89.9907,90.003,-14.9936,44.991,5.00173,4.99311,-174.997,89.9852,90.0112,14.9981,44.9915,4.99922,4.98934,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,6.03951,1.28848,2.0067,-6.42792,-0.689425,-2.10708,-0.0904243,-8.23765,5.50979,-2.42691,-5.55065,-0.258977,-1.20911,-0.502578,0.066357,-0.558097,1.50276,1.90549,0.272193,-1.66615,-0.0215009,-0.546841,1.50887,-2.04618,0.271048,-1.74033,-0.854809,0.0973738,1.25273,-0.0127402,0.999915,0.00276567,0,0,0,0,0,0,0,0,0,0,0,0,-130.515,-482.823,1584.47,-113.881,-522.159,1620.92,-156.955,-493.522,1531.39,196.021,-521.813,1561.64,182.038,-541.365,1591.83,211.112,-533.924,1510.39,-320.422,-294.649,808.079,-292.419,-246.084,838.81,-236.89,-287.391,848.211,-307.128,-258.391,873.082,238.847,-380.197,814.854,291.598,-341.138,808.346,317.229,-385.258,766.059,307.51,-357.563,838.615,-877.787,-693.166,1248.17,-831.485,-690.736,1252.32,-850.87,-694.452,1289.11,-891.173,890.559,1291.47,-846.64,889.187,1266.57,-882.873,888.863,1244.67,-837.524,-332.054,1277.25,-882.032,-332.253,1276.37,-859.037,-332.87,1237.55,0,0,0,0.227013,-1.41779,1.7088,0
3765840,-89.9906,90.003,-14.9934,44.9909,5.00173,4.99306,-174.997,89.984,90.0119,14.998,44.9909,4.99922,4.98924,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.98684,1.29579,2.00658,-6.39566,-0.674581,-2.11549,-0.0861971,-8.19823,5.48865,-2.47316,-5.49838,-0.246701,-1.21023,-0.502884,0.0663776,-0.558121,1.50279,1.90529,0.272663,-1.66603,-0.0214567,-0.546874,1.50895,-2.04589,0.271019,-1.74049,-0.854809,0.0973738,1.25273,-0.0127402,0.999915,0.00276567,0,0,0,0,0,0,0,0,0,0,0,0,-130.483,-482.867,1584.51,-113.874,-522.219,1620.95,-156.907,-493.582,1531.44,196.042,-521.863,1561.66,182.072,-541.426,1591.84,211.128,-533.966,1510.39,-320.435,-294.636,808.106,-292.441,-246.048,838.864,-236.896,-287.353,848.235,-307.136,-258.359,873.127,238.455,-379.642,815.234,291.613,-341.105,808.376,317.212,-385.216,766.089,307.501,-357.515,838.639,-877.779,-693.16,1248.18,-831.49,-690.713,1252.31,-850.863,-694.459,1289.11,-891.177,890.552,1291.46,-846.581,889.184,1266.55,-882.843,888.828,1244.66,-837.527,-332.026,1277.25,-882.028,-332.252,1276.37,-859.051,-332.831,1237.56,0,0,0,0.227007,-1.4178,1.7088,0
3765841,-89.9906,90.003,-14.9934,44.9909,5.00173,4.99306,-174.997,89.984,90.0119,14.998,44.9909,4.99922,4.98924,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.98684,1.29579,2.00658,-6.39566,-0.674581,-2.11549,-0.0861971,-8.19823,5.48865,-2.47316,-5.49838,-0.246701,-1.21023,-0.502884,0.0664059,-0.558281,1.5028,1.90521,0.272476,-1.66551,-0.0214618,-0.546901,1.50892,-2.04614,0.27127,-1.74038,-0.854809,0.0973738,1.25273,-0.0127402,0.999915,0.00276567,0,0,0,0,0,0,0,0,0,0,0,0,-130.483,-482.918,1584.52,-113.857,-522.268,1620.95,-156.912,-493.608,1531.45,196.058,-521.922,1561.67,182.101,-541.483,1591.85,211.148,-534.019,1510.39,-320.445,-294.609,808.13,-292.422,-246.056,838.894,-236.897,-287.361,848.287,-307.131,-258.363,873.179,238.452,-379.588,815.254,291.612,-341.057,808.394,317.209,-385.18,766.113,307.483,-357.506,838.68,-877.781,-693.163,1248.17,-831.482,-690.708,1252.32,-850.839,-694.467,1289.07,-891.135,890.521,1291.46,-846.552,889.198,1266.58,-882.851,888.842,1244.69,-837.509,-332.073,1277.27,-882.028,-332.251,1276.36,-859.046,-332.835,1237.56,0,0,0,0.227017,-1.4178,1.70881,0
3765842,-89.9906,90.003,-14.9934,44.9908,5.00173,4.99306,-174.997,89.9833,90.0127,14.998,44.9898,4.99922,4.98885,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.99696,1.29261,1.96993,-6.41708,-0.684486,-2.11699,-0.0795569,-8.28035,5.52205,-2.45024,-5.57537,-0.244392,-1.25311,-0.508429,0.0664315,-0.558464,1.5028,1.90526,0.272306,-1.66483,-0.0214281,-0.546902,1.50895,-2.04604,0.271546,-1.74029,-0.854809,0.0973738,1.25273,-0.0127402,0.999915,0.00276567,0,0,0,0,0,0,0,0,0,0,0,0,-130.468,-482.973,1584.54,-113.849,-522.349,1620.96,-156.888,-493.666,1531.47,196.06,-521.982,1561.67,182.115,-541.542,1591.86,211.161,-534.056,1510.41,-320.437,-294.602,808.181,-292.442,-246.033,838.945,-236.903,-287.354,848.298,-307.107,-258.385,873.209,238.441,-379.572,815.298,291.607,-341.032,808.419,317.197,-385.129,766.119,307.494,-357.484,838.681,-877.777,-693.159,1248.17,-831.481,-690.722,1252.31,-850.851,-694.459,1289.1,-891.154,890.545,1291.47,-846.606,889.149,1266.57,-882.838,888.832,1244.68,-837.52,-332.04,1277.25,-882.024,-332.254,1276.37,-859.062,-332.828,1237.59,0,0,0,0.227021,-1.4178,1.7088,0
3765843,-89.9906,90.003,-14.9934,44.9908,5.00173,4.99306,-174.997,89.9834,90.0129,14.998,44.9897,4.99922,4.98858,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.98757,1.29524,1.96288,-6.44821,-0.68153,-2.10546,-0.0856084,-8.30605,5.51948,-2.45712,-5.54019,-0.258533,-1.22441,-0.505226,0.0664232,-0.558357,1.50284,1.90503,0.272789,-1.66559,-0.0214648,-0.546955,1.50893,-2.04641,0.271667,-1.74093,-0.854809,0.0973738,1.25273,-0.0127402,0.999915,0.00276567,0,0,0,0,0,0,0,0,0,0,0,0,-130.452,-483.022,1584.56,-113.853,-522.39,1620.94,-156.898,-493.719,1531.49,196.084,-522.027,1561.7,182.135,-541.589,1591.87,211.166,-534.108,1510.42,-320.442,-294.603,808.224,-292.445,-246.015,838.991,-236.904,-287.347,848.371,-307.121,-258.354,873.247,238.376,-379.498,815.366,291.611,-340.981,808.458,317.2,-385.092,766.158,307.495,-357.444,838.739,-877.766,-693.163,1248.16,-831.484,-690.709,1252.3,-850.852,-694.464,1289.11,-891.148,890.538,1291.46,-846.601,889.178,1266.59,-882.89,888.883,1244.68,-837.515,-332.06,1277.29,-882.025,-332.245,1276.36,-859.668,-332.739,1237.06,0,0,0,0.227018,-1.4178,1.7088,0
3765844,-89.9905,90.003,-14.9934,44.9907,5.00173,4.993,-174.997,89.9834,90.0132,14.998,44.9896,4.99922,4.98815,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.9986,1.32889,1.97945,-6.40406,-0.6812,-2.10189,-0.0775295,-8.30565,5.53709,-2.47302,-5.60269,-0.253519,-1.22169,-0.516788,0.0664817,-0.558565,1.50285,1.90518,0.272744,-1.66418,-0.0215038,-0.54713,1.50891,-2.04664,0.271527,-1.74138,-0.854809,0.0973738,1.25273,-0.0127402,0.999915,0.00276567,0,0,0,0,0,0,0,0,0,0,0,0,-130.438,-483.089,1584.58,-113.835,-522.449,1620.98,-156.901,-493.747,1531.52,196.082,-522.077,1561.72,182.161,-541.65,1591.87,211.188,-534.158,1510.43,-320.45,-294.568,808.284,-292.454,-245.986,839.04,-236.926,-287.334,848.415,-307.136,-258.314,873.335,238.458,-379.416,815.369,291.602,-340.924,808.489,317.205,-385.04,766.192,307.489,-357.412,838.774,-877.766,-693.17,1248.17,-831.489,-690.713,1252.32,-850.846,-694.464,1289.12,-891.178,890.568,1291.47,-846.618,889.175,1266.59,-882.852,888.842,1244.67,-837.512,-332.057,1277.26,-882.027,-332.248,1276.37,-859.052,-332.856,1237.59,0,0,0,0.227014,-1.4178,1.70881,0
3765845,-89.9905,90.003,-14.9934,44.9907,5.00173,4.99295,-174.997,89.9834,90.0134,14.998,44.9895,4.99922,4.98787,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,6.02793,1.29866,1.99325,-6.41874,-0.685823,-2.12331,-0.080554,-8.32506,5.53806,-2.46622,-5.56174,-0.253645,-1.23098,-0.502863,0.0664726,-0.558463,1.50288,1.90495,0.273037,-1.66514,-0.0214062,-0.547018,1.50895,-2.04669,0.271485,-1.74015,-0.854809,0.0973738,1.25273,-0.0127402,0.999915,0.00276567,0,0,0,0,0,0,0,0,0,0,0,0,-130.424,-483.158,1584.61,-113.774,-522.538,1621,-156.869,-493.866,1531.56,196.116,-522.125,1561.73,182.176,-541.712,1591.89,211.197,-534.205,1510.44,-320.426,-294.532,808.312,-292.454,-245.948,839.096,-236.899,-287.302,848.436,-307.141,-258.31,873.368,238.395,-379.405,815.431,291.606,-340.909,808.498,317.232,-384.999,766.245,307.524,-357.379,838.795,-877.765,-693.171,1248.16,-831.474,-690.719,1252.32,-850.828,-694.482,1289.1,-891.156,890.54,1291.48,-846.57,889.16,1266.6,-882.838,888.821,1244.67,-837.352,-332.103,1277.5,-882.026,-332.256,1276.36,-859.062,-332.833,1237.56,0,0,0,0.227012,-1.4178,1.7088,0
3765846,-89.9905,90.003,-14.9934,44.9907,5.00173,4.9929,-174.996,89.9834,90.0133,14.998,44.9895,4.99922,4.98749,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,6.04394,1.25451,2.00445,-6.40622,-0.693779,-2.08814,-0.0704142,-8.30842,5.61028,-2.4482,-5.49939,-0.260665,-1.22008,-0.489643,0.066511,-0.558573,1.50289,1.90509,0.272911,-1.66459,-0.0213262,-0.546894,1.509,-2.04645,0.27194,-1.73939,-0.854809,0.0973738,1.25273,-0.0127402,0.999915,0.00276567,0,0,0,0,0,0,0,0,0,0,0,0,-130.424,-483.213,1584.63,-113.77,-522.61,1620.99,-156.831,-493.935,1531.6,196.126,-522.181,1561.74,182.194,-541.773,1591.9,211.219,-534.27,1510.46,-320.403,-294.509,808.338,-292.468,-245.935,839.158,-236.881,-287.283,848.511,-307.132,-258.322,873.438,238.952,-379.968,815.043,291.587,-340.879,808.537,317.237,-384.945,766.271,307.502,-357.344,838.831,-877.771,-693.168,1248.17,-831.471,-690.759,1252.32,-850.848,-694.457,1289.1,-891.147,890.525,1291.46,-846.583,889.132,1266.6,-882.804,888.795,1244.69,-837.337,-332.116,1277.5,-882.023,-332.257,1276.37,-859.018,-332.859,1237.58,0,0,0,0.227015,-1.4178,1.70881,0
3765847,-89.9905,90.003,-14.9934,44.9907,5.00173,4.9929,-174.996,89.9834,90.0133,14.998,44.9895,4.99922,4.98749,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,6.04394,1.25451,2.00445,-6.40622,-0.693779,-2.08814,-0.0704142,-8.30842,5.61028,-2.4482,-5.49939,-0.260665,-1.22008,-0.489643,0.0665393,-0.558708,1.5029,1.90511,0.273052,-1.66392,-0.0214152,-0.54714,1.50899,-2.0468,0.271962,-1.74098,-0.854811,0.0973747,1.25273,-0.0127406,0.999915,0.00276578,0,0,0,0,0,0,0,0,0,0,0,0,-130.39,-483.293,1584.67,-113.787,-522.678,1621.01,-156.836,-493.974,1531.64,196.129,-522.238,1561.76,182.21,-541.839,1591.92,211.23,-534.308,1510.48,-320.436,-294.476,808.444,-292.485,-245.902,839.224,-236.884,-287.235,848.562,-307.142,-258.277,873.502,238.951,-379.917,815.084,291.599,-340.844,808.581,317.238,-384.902,766.285,307.501,-357.314,838.873,-877.765,-693.16,1248.17,-831.477,-690.721,1252.32,-850.815,-694.479,1289.12,-891.144,890.517,1291.48,-846.63,889.16,1266.55,-882.8,888.784,1244.68,-837.324,-332.079,1277.5,-882.031,-332.256,1276.37,-859.029,-332.846,1237.59,0,0,0,0.22702,-1.4178,1.7088,0
